Area code;Area name;"Asian, Asian British or Asian Welsh: Bangladeshi
(number)";"Asian, Asian British or Asian Welsh: Chinese
(number)";"Asian, Asian British or Asian Welsh: Indian
(number)";"Asian, Asian British or Asian Welsh: Pakistani
(number)";"Asian, Asian British or Asian Welsh: Other Asian
(number)";"Black, Black British, Black Welsh, Caribbean or African: African
(number)";"Black, Black British, Black Welsh, Caribbean or African: Caribbean
(number)";"Black, Black British, Black Welsh, Caribbean or African: Other Black
(number)";"Mixed or Multiple ethnic groups: White and Asian
(number)";"Mixed or Multiple ethnic groups: White and Black African
(number)";"Mixed or Multiple ethnic groups: White and Black Caribbean
(number)";"Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups
(number)";"White: English, Welsh, Scottish, Northern Irish or British
(number)";"White: Irish
(number)";"White: Gypsy or Irish Traveller
(number)";"White: Roma
(number)";"White: Other White
(number)";"Other ethnic group: Arab
(number)";"Other ethnic group: Any other ethnic group
(number)";Asian, Asian British or Asian Welsh: Bangladesh;Asian, Asian British or Asian Welsh: Chinese;Asian, Asian British or Asian Welsh: Indian;Asian, Asian British or Asian Welsh: Pakistani;Asian, Asian British or Asian Welsh: Other Asian;Black, Black British, Black Welsh, Caribbean or African: African;Black, Black British, Black Welsh, Caribbean or African: Caribbean;Black, Black British, Black Welsh, Caribbean or African: Other Black;Mixed or Multiple ethnic groups: White and Asian;Mixed or Multiple ethnic groups: White and Black African ;Mixed or Multiple ethnic groups: White and Black Caribbean;Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups;"White: English, Welsh, Scottish, Northern Irish or British
(percent)";"White: Irish
(percent)";"White: Gypsy or Irish Traveller
(percent)";"White: Roma
(percent)";"White: Other White
(percent)";Other ethnic group: Arab;Other ethnic group: Any other ethnic group
E06000001;Hartlepool; 278 ; 217 ; 335 ; 297 ; 473 ; 327 ; 57 ; 61 ; 240 ; 115 ; 143 ; 173 ; 87.761 ; 170 ; 37 ; 19 ; 1.081 ; 270 ; 284 ; 0,3 ; 0,2 ; 0,4 ; 0,3 ; 0,5 ; 0,4 ; 0,1 ; 0,1 ; 0,3 ; 0,1 ; 0,2 ; 0,2 ; 95,0 ; 0,2 ; -   ; -   ; 1,2 ; 0,3 ; 0,3 
E06000002;Middlesbrough; 595 ; 669 ; 2.804 ; 8.990 ; 2.032 ; 3.339 ; 162 ; 315 ; 1.110 ; 650 ; 570 ; 671 ; 114.421 ; 434 ; 160 ; 320 ; 3.212 ; 1.452 ; 2.016 ; 0,4 ; 0,5 ; 1,9 ; 6,2 ; 1,4 ; 2,3 ; 0,1 ; 0,2 ; 0,8 ; 0,5 ; 0,4 ; 0,5 ; 79,5 ; 0,3 ; 0,1 ; 0,2 ; 2,2 ; 1,0 ; 1,4 
E06000003;Redcar and Cleveland; 158 ; 208 ; 175 ; 283 ; 336 ; 182 ; 48 ; 35 ; 460 ; 215 ; 270 ; 240 ; 131.789 ; 350 ; 87 ; 14 ; 1.148 ; 321 ; 211 ; 0,1 ; 0,2 ; 0,1 ; 0,2 ; 0,2 ; 0,1 ; -   ; -   ; 0,3 ; 0,2 ; 0,2 ; 0,2 ; 96,5 ; 0,3 ; 0,1 ; -   ; 0,8 ; 0,2 ; 0,2 
E06000004;Stockton-on-Tees; 236 ; 690 ; 1.812 ; 4.875 ; 1.439 ; 1.823 ; 130 ; 250 ; 1.131 ; 469 ; 412 ; 725 ; 177.526 ; 528 ; 145 ; 143 ; 2.595 ; 558 ; 1.106 ; 0,1 ; 0,4 ; 0,9 ; 2,5 ; 0,7 ; 0,9 ; 0,1 ; 0,1 ; 0,6 ; 0,2 ; 0,2 ; 0,4 ; 90,3 ; 0,3 ; 0,1 ; 0,1 ; 1,3 ; 0,3 ; 0,6 
E06000005;Darlington; 759 ; 308 ; 1.086 ; 195 ; 618 ; 456 ; 135 ; 110 ; 516 ; 198 ; 384 ; 374 ; 97.320 ; 342 ; 434 ; 104 ; 3.525 ; 329 ; 603 ; 0,7 ; 0,3 ; 1,0 ; 0,2 ; 0,6 ; 0,4 ; 0,1 ; 0,1 ; 0,5 ; 0,2 ; 0,4 ; 0,3 ; 90,3 ; 0,3 ; 0,4 ; 0,1 ; 3,3 ; 0,3 ; 0,6 
E06000006;Halton; 58 ; 418 ; 375 ; 125 ; 460 ; 293 ; 84 ; 134 ; 461 ; 342 ; 530 ; 458 ; 120.301 ; 685 ; 91 ; 68 ; 2.831 ; 241 ; 523 ; -   ; 0,3 ; 0,3 ; 0,1 ; 0,4 ; 0,2 ; 0,1 ; 0,1 ; 0,4 ; 0,3 ; 0,4 ; 0,4 ; 93,6 ; 0,5 ; 0,1 ; 0,1 ; 2,2 ; 0,2 ; 0,4 
E06000007;Warrington; 197 ; 1.326 ; 2.347 ; 1.760 ; 1.324 ; 1.075 ; 277 ; 224 ; 1.204 ; 593 ; 785 ; 753 ; 185.940 ; 1.366 ; 115 ; 167 ; 9.717 ; 393 ; 1.410 ; 0,1 ; 0,6 ; 1,1 ; 0,8 ; 0,6 ; 0,5 ; 0,1 ; 0,1 ; 0,6 ; 0,3 ; 0,4 ; 0,4 ; 88,1 ; 0,6 ; 0,1 ; 0,1 ; 4,6 ; 0,2 ; 0,7 
E06000008;Blackburn with Darwen; 1.473 ; 400 ; 24.389 ; 27.525 ; 1.391 ; 1.061 ; 170 ; 175 ; 1.329 ; 231 ; 368 ; 668 ; 87.997 ; 589 ; 101 ; 143 ; 4.562 ; 841 ; 1.328 ; 1,0 ; 0,3 ; 15,8 ; 17,8 ; 0,9 ; 0,7 ; 0,1 ; 0,1 ; 0,9 ; 0,1 ; 0,2 ; 0,4 ; 56,9 ; 0,4 ; 0,1 ; 0,1 ; 2,9 ; 0,5 ; 0,9 
E06000009;Blackpool; 442 ; 542 ; 892 ; 572 ; 1.228 ; 449 ; 175 ; 87 ; 645 ; 408 ; 638 ; 519 ; 127.445 ; 808 ; 236 ; 207 ; 4.854 ; 216 ; 676 ; 0,3 ; 0,4 ; 0,6 ; 0,4 ; 0,9 ; 0,3 ; 0,1 ; 0,1 ; 0,5 ; 0,3 ; 0,5 ; 0,4 ; 90,4 ; 0,6 ; 0,2 ; 0,1 ; 3,4 ; 0,2 ; 0,5 
E06000010;Kingston upon Hull, City of; 1.279 ; 1.234 ; 1.259 ; 1.292 ; 2.451 ; 4.292 ; 232 ; 541 ; 1.172 ; 1.144 ; 948 ; 1.249 ; 223.962 ; 455 ; 451 ; 286 ; 19.835 ; 1.443 ; 3.488 ; 0,5 ; 0,5 ; 0,5 ; 0,5 ; 0,9 ; 1,6 ; 0,1 ; 0,2 ; 0,4 ; 0,4 ; 0,4 ; 0,5 ; 83,9 ; 0,2 ; 0,2 ; 0,1 ; 7,4 ; 0,5 ; 1,3 
